"","T","CP","RT","A"
"1","0","1","1","0.217"
"2","0","1","1","0.198"
"3","0","1","2","0.154"
"4","0","1","2","0.15"
"5","0","1","3","0.075"
"6","0","1","3","0.074"
"7","0","5","1","0.199"
"8","0","5","1","0.217"
"9","0","5","2","0.153"
"10","0","5","2","0.147"
"11","0","5","3","0.092"
"12","0","5","3","0.074"
"13","10","1","1","0.214"
"14","10","1","1","0.21"
"15","10","1","2","0.153"
"16","10","1","2","0.154"
"17","10","1","3","0.076"
"18","10","1","3","0.072"
"19","10","5","1","0.209"
"20","10","5","1","0.218"
"21","10","5","2","0.153"
"22","10","5","2","0.15"
"23","10","5","3","0.087"
"24","10","5","3","0.078"
